C,balanced,calibrated,split,auc,acc_all,brier,acc_0.52,n_0.52,cov_0.52,acc_0.55,n_0.55,cov_0.55,acc_0.58,n_0.58,cov_0.58,acc_0.60,n_0.60,cov_0.60
0.03,True,True,val,0.5431586923307115,0.5339326362899803,0.24885611315498124,0.551598078128264,9574,0.3693815347814345,0.6538461538461539,312,0.012037501446815077,0.8571428571428571,7,0.0002700721478452101,1.0,1,3.8581735406458585e-05
0.03,True,True,test,0.5243111685585065,0.5152553358951804,0.24965315051844197,0.5281047919084729,18093,0.4188388351312561,0.5304033714629741,1661,0.03845085420621325,0.6456310679611651,206,0.00476873929348581,0.7222222222222222,72,0.0016667438307329044
0.03,True,False,val,0.543532863423044,0.5330066746402253,0.24857184514604078,0.5439005439005439,15444,0.5958563216173464,0.5629955947136563,3405,0.13137080905899148,0.6417910447761194,335,0.012924881361163626,0.6533333333333333,75,0.0028936301554843935
0.03,True,False,test,0.5244936993374896,0.5156720218528635,0.24999076943711815,0.5237461162893919,27036,0.6258623084402055,0.5378748707342296,7736,0.17908236492430205,0.5271940667490729,1618,0.03745543775174777,0.5652173913043478,690,0.015972961711190333
0.03,False,True,val,0.5431293438271213,0.533816891083761,0.2488568648814428,0.5515189476980896,9579,0.36957444345846674,0.6528662420382165,314,0.012114664917627995,0.8333333333333334,6,0.0002314904124387515,1.0,1,3.8581735406458585e-05
0.03,False,True,test,0.5243001285202079,0.5151858882355664,0.2496541805087094,0.5280371250207171,18101,0.4190240288902264,0.5316074653822999,1661,0.03845085420621325,0.6473429951690821,207,0.0047918885133571,0.7222222222222222,72,0.0016667438307329044
0.03,False,False,val,0.5435129702701743,0.5335082372005093,0.24857017784540592,0.5436428340342931,15455,0.5962807207068174,0.5628140703517588,3383,0.1305220108800494,0.6484848484848484,330,0.012731972684131333,0.65,80,0.0030865388325166864
0.03,False,False,test,0.5244865710562013,0.5151395897958239,0.2500130373998765,0.5240540939994088,27064,0.6265104865966017,0.5387296669248645,7746,0.17931385712301495,0.5262836185819071,1636,0.037872123709430994,0.5620542082738944,701,0.016227603129774528
0.06,True,True,val,0.5433453223766698,0.5346656892627031,0.2488466313891963,0.552155625657203,9510,0.3669123037154211,0.6592356687898089,314,0.012114664917627995,0.75,8,0.0003086538832516687,,0,0.0
0.06,True,True,test,0.5244144535348843,0.5146997546182693,0.24965232277829344,0.5289022155588872,18009,0.4168943006620677,0.5243605359317906,1642,0.038011019028658735,0.645933014354067,209,0.00483818695309968,0.7,70,0.0016204453909903235
0.06,True,False,val,0.5436962421185216,0.5330838381110382,0.2485568696046255,0.5435976989205611,15471,0.5968980284733207,0.5618424793858402,3517,0.13569196342451484,0.6392045454545454,352,0.01358077086307342,0.6707317073170732,82,0.0031637023033296036
0.06,True,False,test,0.5245741660889368,0.5156025741932497,0.25000231302212983,0.5233837436067262,27177,0.6291263484420575,0.5364806866952789,7922,0.18338811982036204,0.5255562236921226,1663,0.03849715264595583,0.5563380281690141,710,0.01643594610861614
0.06,False,True,val,0.5433273226756447,0.5348585979397353,0.24884716667705314,0.5520033652329372,9509,0.36687372198001467,0.65814696485623,313,0.012076083182221536,0.7142857142857143,7,0.0002700721478452101,,0,0.0
0.06,False,True,test,0.524421839309777,0.5146997546182693,0.24965167468605243,0.5288920991221246,17998,0.4166396592434835,0.5241000610128127,1639,0.037941571369044864,0.645933014354067,209,0.00483818695309968,0.7,70,0.0016204453909903235
0.06,False,False,val,0.543706912136463,0.5336625641421351,0.24855323869748894,0.5437927916289885,15482,0.5973224275627917,0.5635169854410506,3503,0.1351518191288244,0.6440677966101694,354,0.013657934333886339,0.6588235294117647,85,0.0032794475095489794
0.06,False,False,test,0.5245754750147603,0.5155331265336358,0.2500224520408216,0.5228702851885925,27175,0.6290800500023149,0.5368992052478869,7927,0.1835038659197185,0.5256869772998806,1674,0.038751794064540025,0.5612813370473537,718,0.01662113986758646
