rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,67582031741.47782,-2.10311539,9583237954.71287,57998793786.76495
2,Coinbase Exchange,coinbase-exchange,1899907358.8032532,-7.06948423,1899907358.8032532,0.0
3,Upbit,upbit,1686218267.2873964,-12.01105249,1686218267.2873964,0.0
6,OKX,okx,27239174205.254654,1.68841733,2066678588.780976,25211272963.77837
7,Bybit,bybit,20320664180.263344,-1.35891321,2323498097.290325,17997166082.97302
8,Bitget,bitget,11899629930.856047,-4.0513349,1587528102.5646472,10312101828.291399
9,Gate,gate,19990105261.543983,-3.08530197,2429709522.380557,17560395739.163425
10,KuCoin,kucoin,7858941536.389099,-38.67777463,2445310574.6960964,5413630961.693003
16,MEXC,mexc,14672139352.662195,8.51854908,3153006824.2202597,11519132528.441936
24,HTX,htx,4705365593.183809,-3.14653404,1246463380.7376099,3458902212.446199
