symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66640.0,1329537189071.0,4.880230014994173
ETH,Ethereum,1987.9,239288081272.0,7.286391507778904
USDT,Tether,1.0,183641359937.0,0.0009481194201032246
BNB,BNB,621.58,84519205577.0,5.1246973454999445
XRP,XRP,1.38,84286842349.0,7.456413782672421
USDC,USDC,0.999914,75191180868.0,-0.0036125469935283008
SOL,Solana,85.36,48605929584.0,9.405720485385682
TRX,TRON,0.281334,26651287278.0,0.8590558800690118
FIGR_HELOC,Figure Heloc,1.029,15913674381.0,-1.845357023009566
DOGE,Dogecoin,0.0938,15805927194.0,5.862483655209223
