rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,1308683286205.4814,-3.63724684,1219032174975.8008,27.55818854,10462198171.122198,49836022302.20279
2,Coinbase Exchange,coinbase-exchange,51446237686.86696,12.71410614,35643549161.64992,28.72637897,1997181006.9870427,0.0
3,Upbit,upbit,38468668765.43809,-18.09308025,11086789462.056282,-14.2561047,1201637164.3283913,0.0
6,OKX,okx,706253697665.1406,0.4650787,140829691433.66556,32.43251642,1848035968.080401,22324351109.310455
7,Bybit,bybit,551865013118.7881,-4.49311769,117475541350.75829,31.29025854,2257435444.4084554,15329874432.927485
8,Bitget,bitget,289206940040.4546,-12.73272943,73855682455.45311,24.60068341,1223862509.1764376,8637096350.049322
9,Gate,gate,434812812456.2526,-2.47780156,102592214167.28859,26.103029,2256453494.1025414,14910193946.488825
10,KuCoin,kucoin,196112471219.99222,14.60173833,75207538384.9405,-47.73434067,2180351105.8483257,4075820975.319737
14,MEXC,mexc,211663389145.34875,-2.86217189,56256518630.009346,6.51440954,2577033168.068641,10803305306.271393
23,HTX,htx,160886532925.2714,-3.63259055,31217026088.99929,40.62621777,1552885692.5284197,3021118240.3362293
