date,value,classification
2026-02-01,14,Extreme Fear
2026-02-02,14,Extreme Fear
2026-02-03,17,Extreme Fear
2026-02-04,14,Extreme Fear
2026-02-05,12,Extreme Fear
2026-02-06,9,Extreme Fear
2026-02-07,6,Extreme Fear
2026-02-08,7,Extreme Fear
2026-02-09,14,Extreme Fear
2026-02-10,9,Extreme Fear
2026-02-11,11,Extreme Fear
2026-02-12,5,Extreme Fear
2026-02-13,9,Extreme Fear
2026-02-14,9,Extreme Fear
2026-02-15,8,Extreme Fear
2026-02-16,12,Extreme Fear
2026-02-17,10,Extreme Fear
2026-02-18,8,Extreme Fear
2026-02-19,9,Extreme Fear
2026-02-20,7,Extreme Fear
2026-02-21,8,Extreme Fear
2026-02-22,9,Extreme Fear
2026-02-23,5,Extreme Fear
2026-02-24,8,Extreme Fear
2026-02-25,11,Extreme Fear
2026-02-26,11,Extreme Fear
2026-02-27,13,Extreme Fear
2026-02-28,11,Extreme Fear
