symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,67062.0,1340491134329.0,1.0911965735062494
ETH,Ethereum,1961.94,236838529458.0,0.749014712731157
USDT,Tether,0.999871,183598513968.0,-0.0007960374727458859
BNB,BNB,626.65,85474563892.0,0.6793738268355545
XRP,XRP,1.35,82616166382.0,0.002144919969389171
USDC,USDC,0.999975,76041863479.0,-0.002524024607364339
SOL,Solana,84.23,47981021395.0,0.36692536122026326
TRX,TRON,0.281282,26650015490.0,-0.08612545151290585
FIGR_HELOC,Figure Heloc,1.031,15926715795.0,0.17949871011731955
DOGE,Dogecoin,0.090053,15211036118.0,-1.934746018067684
