protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,updated_at_utc
Aave,Ethereum,USDT,1.9569247983126137,,1.9166,3.107105462084927,1512867673.0,,,70.37565819842946,9495691180.0,8796008672.0,1484753935.692342,True,False,False,6,审计成熟/头部流动性,1,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,2026-03-25T15:25:58.310244+00:00
Aave,Ethereum,USDC,2.249792901137169,,2.22572,3.332788690545933,842257059.0,,,75.40433056134795,7498814475.0,6998893510.0,842751155.6726892,True,False,False,6,审计成熟/头部流动性,1,aa70268e-4b52-42bf-a116-608b370f9501,2026-03-25T15:25:58.310488+00:00
Aave,Ethereum,PYUSD,2.0246982113576095,,2.00447,3.7544562090263183,136114586.0,,,60.428162167107736,499977175.0,299986305.0,136147814.6623342,True,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,2026-03-25T15:25:58.310580+00:00
Aave,Ethereum,USDS,0.08045692395051345,,0.08042,5.670807390831243,55514669.0,,,1.94409638066769,79966320.0,75968004.0,55509352.38867232,False,False,False,6,审计成熟/头部流动性,1,e65588a1-27ad-4e20-9232-68a6cfaccf63,2026-03-25T15:25:58.310690+00:00
Aave,Ethereum,DAI,2.180406210453157,,2.15698,4.032742608489367,38502522.0,,,72.7453349906249,199974000.0,179976600.0,38503139.27833537,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,2026-03-25T15:25:58.310730+00:00
Aave,Arbitrum,USDC,1.4775517239831508,,1.46817,2.7278594899159776,105363317.0,,,60.55461211494612,512248770.0,386861310.0,105495076.14879185,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,2026-03-25T15:25:58.310619+00:00
Aave,Base,USDC,2.339422604606845,,2.31377,3.649294818135541,105012711.0,,,71.68565511496233,685135337.676,484954230.55,105163012.71494478,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,2026-03-25T15:25:58.310625+00:00
Aave,Arbitrum,DAI,1.7336522127355485,,1.7188,3.632679057179774,1730542.0,,,64.22846903527623,9812707.8049,7479252.88726,1737611.6526576085,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,2026-03-25T15:25:58.311638+00:00
Spark,Ethereum,USDT,3.46,,3.46,,658219173.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,2026-03-25T15:25:58.310500+00:00
Spark,Ethereum,USDC,3.75,,3.75,,395299791.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,c5c74dd1-995c-4445-9d84-3e710bad7d52,2026-03-25T15:25:58.310521+00:00
