rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,2037483120148.8777,-19.57764613,1188454447142.6648,1.80665339,8677204818.052391,53277327725.17761
2,Coinbase Exchange,coinbase-exchange,60078030111.908455,-30.61025819,16216020200.594416,3.66277941,1730776733.0216966,0.0
3,Upbit,upbit,39908357575.719894,-36.55326648,3938350717.099334,-7.15629047,983026815.8215007,0.0
6,OKX,okx,598449135967.8162,-24.56602811,130425998138.3531,3.97141877,1764939618.4442894,22845679411.10229
7,Bybit,bybit,535485491258.4344,-21.8717659,110913774419.69576,-5.93652199,2122757775.2580338,14995002865.51707
8,Bitget,bitget,340852440951.3441,-15.68176559,77500076657.45534,3.31661558,1157215321.5106955,9596933622.932795
9,Gate,gate,530200320434.38837,-34.78492036,32411219625.553387,-3.00283048,1796583708.3149045,12961617935.862507
10,KuCoin,kucoin,137478669050.01022,-71.06430219,35615631961.13366,-60.31275159,2058776567.0454414,3214676023.759048
13,MEXC,mexc,227786243590.9135,-14.99102012,51308810462.39908,-8.95474504,2076634569.5504751,12284365881.71793
21,HTX,htx,114784174873.91388,-10.47981015,13068779377.549948,22.75680712,1327611537.0635962,3028069918.5441585
