asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.75,,,6457712264.0,DefiLlama API
USDC,maple,Ethereum,4.31371,4.31371,0.0,3608935544.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,3.52205,3.52205,,3523927177.0,DefiLlama API
USYC,circle-usyc,BSC,3.35463,3.35463,,2552865131.0,DefiLlama API
USDT,maple,Ethereum,3.68733,3.68733,0.0,1968169647.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.55347,3.55347,,993122098.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,807167632.0,DefiLlama API
USTB,superstate-ustb,Ethereum,3.71185,3.71185,,646693343.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.21245,3.21245,,559016577.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,536809981.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.52256,3.52256,,525647064.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.21245,3.21245,,507638056.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.8047,,2.8047,505794266.0,DefiLlama API
USDC,jupiter-lend,Solana,3.81988,2.55193,1.26795,465182608.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.75,,,357183798.0,DefiLlama API
USDD,justlend,Tron,4.48051,0.00097,4.47954,343851185.0,DefiLlama API
DAI,sky-lending,Ethereum,1.25,,,245522384.0,DefiLlama API
USDX,stables-labs-usdx,BSC,1.34994,1.34994,,241966347.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,6.8,6.8,,224673580.0,DefiLlama API
USDC,fluid-lending,Ethereum,3.56,2.6,0.96,211547714.0,DefiLlama API
REUSD,re,Ethereum,6.07541,6.07541,,185929883.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,179950226.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,4.75333,,,175942097.0,DefiLlama API
USD1,lista-lending,BSC,1.2579,1.2579,0.0,138420341.0,DefiLlama API
USCC,superstate-uscc,Ethereum,4.18053,4.18053,,132622891.0,DefiLlama API
USDT,fluid-lending,Ethereum,4.44,2.84,1.6,127120806.0,DefiLlama API
USDT,justlend,Tron,1.61815,1.61815,0.0,125876850.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,124986323.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,123705315.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.52244,3.52244,,111333163.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.35463,3.35463,,110024174.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,110010150.0,DefiLlama API
PYUSD,euler-v2,Ethereum,6.27504,1.68832,4.58672,107887909.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,104218874.0,DefiLlama API
USDT,venus-core-pool,BSC,1.71868,1.71868,0.0,104122011.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,4.3375,1.80607,2.53142,99673616.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.9211,5.9211,,88004057.0,DefiLlama API
SDAI,sdai,Gnosis,4.12683,,,88001748.0,DefiLlama API
TBILL,openeden-tbill,Ethereum,3.44952,3.44952,,78566123.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,2.75499,2.75499,,77488202.0,DefiLlama API
STCUSD,cap,Ethereum,4.58967,,,74562008.0,DefiLlama API
GTUSDA,gauntlet,Base,4.28847,4.28847,,74435388.0,DefiLlama API
SIUSD,infinifi,Ethereum,5.9674,5.9674,,70610779.0,DefiLlama API
U,lista-lending,BSC,0.41317,0.41317,0.0,69354031.0,DefiLlama API
RLUSD,euler-v2,Ethereum,6.68471,1.63809,5.04662,68804169.0,DefiLlama API
USDT,venus-flux,BSC,7.11,1.22,5.89,67165415.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,1.73677,1.71923,0.01755,66179860.0,DefiLlama API
SFRAX,frax,Ethereum,1.24974,1.24974,,65348022.0,DefiLlama API
USDC,avantis,Base,9.52266,9.52266,,64973308.0,DefiLlama API
STUSDT,stusdt,Tron,3.62359,,,61760432.0,DefiLlama API
LIQUIDUSD,ether.fi-liquid,Ethereum,3.62769,3.62769,,59892432.0,DefiLlama API
USDCUSDT,fluid-dex,Ethereum,0.72574,0.72574,,52266107.0,DefiLlama API
PLASMAUSD,veda,Plasma,3.51565,3.51565,,52034710.0,DefiLlama API
MSUSD,mainstreet,Ethereum,11.92468,11.92468,0.0,46935427.0,DefiLlama API
USDC,kamino-lend,Solana,2.29681,2.29681,,44949532.0,DefiLlama API
USDO,openeden-usdo,Ethereum,3.24918,3.24918,,41408534.0,DefiLlama API
USDC,euler-v2,Ethereum,3.58362,3.58362,,40884872.0,DefiLlama API
SUSDU,unitas,Solana,10.20858,10.20858,,40173095.0,DefiLlama API
CRVUSD,curve-llamalend,Ethereum,0.86573,0.1948,0.67093,37335819.0,DefiLlama API
USDC,goldfinch,Ethereum,10.06459,10.06459,,37250756.0,DefiLlama API
XUSDC,multipli.fi,Ethereum,4.03,,,37232150.0,DefiLlama API
EARNAUSD,upshift,Monad,11.02608,6.14124,4.88484,36347631.0,DefiLlama API
USCC,superstate-uscc,Solana,4.18053,4.18053,,35260904.0,DefiLlama API
YUSD,aegis,Ethereum,3.78,,,34607138.0,DefiLlama API
USDX,clearpool-lending,Flare,3.49905,3.49905,0.0,34285765.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,3.76,,,32346839.0,DefiLlama API
VBUSDC,yearn-finance,Katana,1.22492,1.22492,0.0,31735971.0,DefiLlama API
SYZUSD,yuzu-money,Plasma,7.31571,7.31571,,31641951.0,DefiLlama API
USDC,fluid-lending,Arbitrum,4.76,3.7,1.06,30678794.0,DefiLlama API
SCRVUSD,crvusd,Ethereum,3.41558,3.41558,,30467010.0,DefiLlama API
