rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,54863409024.16035,-15.15910191,8568993430.19358,46294415593.96677
2,Coinbase Exchange,coinbase-exchange,1754164775.460692,-14.5286313,1754164775.460692,0.0
3,Upbit,upbit,1243008797.7784047,-30.52571409,1243008797.7784047,0.0
6,OKX,okx,21570026025.60415,-13.31342408,1520292196.7318568,20049733828.87229
7,Bybit,bybit,16507794507.170486,-4.19013977,2685981911.207366,13821812595.96312
8,Bitget,bitget,9504057238.894272,-13.41728788,868735793.4890689,8635321445.405203
9,Gate,gate,13207860796.905998,-11.97463394,1339896266.7221603,11867964530.183838
11,KuCoin,kucoin,4143751171.147961,-12.53427894,1686056245.7369642,2457694925.410997
13,MEXC,mexc,17160653633.3163,1.58231168,989675553.2234871,16170978080.092813
23,HTX,htx,4361443373.004011,-4.28369398,1816948623.80534,2544494749.1986713
