rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,2038187733519.9265,-30.7743419,1190448196631.7515,6.14805376,3863602429.9314713,26324866009.583942
2,Coinbase Exchange,coinbase-exchange,56454090928.55335,-45.91992451,9740262593.608309,-14.76893754,605512270.442045,0.0
3,Upbit,upbit,28682669929.677013,12.6746192,5595828184.982276,-46.31195076,892198920.7841988,0.0
6,OKX,okx,599651509406.0629,-27.02803736,150625097428.3212,2.18179384,908352803.8485295,10999173251.650164
7,Bybit,bybit,237022970195.3578,-31.20682284,50987074594.80493,-1.47175045,953207279.0680816,7068102310.660891
8,Bitget,bitget,129043036541.42047,-26.68637252,33748652016.910862,16.41226257,742046044.545526,4478583801.262488
10,Gate,gate,268938493386.9011,-30.25965846,98513170242.88094,9.17732078,835716288.7147043,5672994370.651599
13,KuCoin,kucoin,106621023528.89473,-1.2834276,21257149514.828888,36.26019549,1386513195.5800207,2068172665.607999
16,MEXC,mexc,97735501731.5879,-17.46146919,23669872417.472027,51.99212565,587078694.9561785,11556618172.18755
25,HTX,htx,70456439522.80873,-44.16074675,27357793892.014355,6.6039369,851930427.9849262,1285569509.2582939
