date,btc_dvol_close,eth_dvol_close
2026-04-01,51.49,72.02
2026-04-02,50.85,71.13
2026-04-03,47.41,68.3
2026-04-04,47.37,68.74
2026-04-05,47.53,69.94
2026-04-06,48.99,69.1
2026-04-07,47.37,69.49
2026-04-08,44.35,65.06
2026-04-09,44.52,63.51
2026-04-10,43.14,64.32
2026-04-11,44.61,66.86
2026-04-12,45.43,66.44
2026-04-13,44.01,66.67
2026-04-14,44.1,65.71
2026-04-15,43.92,65.88
2026-04-16,42.33,65.68
2026-04-17,42.83,64.88
2026-04-18,44.1,67.59
2026-04-19,43.44,68.39
2026-04-20,42.03,65.42
2026-04-21,42.13,64.84
2026-04-22,43.18,63.81
2026-04-23,42.83,64.46
2026-04-24,40.16,60.65
2026-04-25,40.77,60.82
2026-04-26,40.34,61.58
2026-04-27,40.62,59.24
2026-04-28,40.58,57.63
2026-04-29,39.62,57.24
2026-04-30,38.88,56.02
