asset,symbol,timestamp_utc,open_usd,high_usd,low_usd,close_usd
BTC,BTCUSDT,2026-05-01T14:00:00+00:00,78737.26,78871.8,78051.86,78358.75
BTC,BTCUSDT,2026-05-01T15:00:00+00:00,78358.74,78735.92,78176.06,78445.89
BTC,BTCUSDT,2026-05-01T16:00:00+00:00,78445.88,78683.23,78167.53,78214.36
BTC,BTCUSDT,2026-05-01T17:00:00+00:00,78214.36,78584.61,78131.02,78552.94
BTC,BTCUSDT,2026-05-01T18:00:00+00:00,78552.93,78623.37,78375.53,78423.9
BTC,BTCUSDT,2026-05-01T19:00:00+00:00,78423.91,78540.0,78313.16,78360.0
BTC,BTCUSDT,2026-05-01T20:00:00+00:00,78360.01,78422.81,77752.0,77880.18
BTC,BTCUSDT,2026-05-01T21:00:00+00:00,77880.18,78200.0,77857.97,78199.99
BTC,BTCUSDT,2026-05-01T22:00:00+00:00,78200.0,78411.13,78144.7,78153.38
BTC,BTCUSDT,2026-05-01T23:00:00+00:00,78153.37,78249.6,78043.28,78231.13
BTC,BTCUSDT,2026-05-02T00:00:00+00:00,78231.13,78393.39,78166.48,78341.75
BTC,BTCUSDT,2026-05-02T01:00:00+00:00,78341.75,78441.31,78294.19,78355.0
BTC,BTCUSDT,2026-05-02T02:00:00+00:00,78355.0,78513.7,78260.95,78353.93
BTC,BTCUSDT,2026-05-02T03:00:00+00:00,78353.93,78514.82,78237.25,78400.0
BTC,BTCUSDT,2026-05-02T04:00:00+00:00,78399.99,78448.99,78123.53,78175.5
BTC,BTCUSDT,2026-05-02T05:00:00+00:00,78175.5,78235.25,78040.0,78174.0
BTC,BTCUSDT,2026-05-02T06:00:00+00:00,78174.0,78363.21,78148.24,78327.8
BTC,BTCUSDT,2026-05-02T07:00:00+00:00,78327.8,78342.18,78207.2,78220.0
BTC,BTCUSDT,2026-05-02T08:00:00+00:00,78220.0,78356.51,78165.3,78315.37
BTC,BTCUSDT,2026-05-02T09:00:00+00:00,78315.36,78394.0,78220.0,78293.57
BTC,BTCUSDT,2026-05-02T10:00:00+00:00,78293.57,78311.97,78225.22,78249.3
BTC,BTCUSDT,2026-05-02T11:00:00+00:00,78249.31,78249.31,78094.43,78143.08
BTC,BTCUSDT,2026-05-02T12:00:00+00:00,78143.09,78143.09,78121.67,78121.68
ETH,ETHUSDT,2026-05-01T14:00:00+00:00,2318.22,2325.28,2301.42,2308.04
ETH,ETHUSDT,2026-05-01T15:00:00+00:00,2308.03,2316.74,2298.77,2307.64
ETH,ETHUSDT,2026-05-01T16:00:00+00:00,2307.64,2314.21,2298.17,2301.94
ETH,ETHUSDT,2026-05-01T17:00:00+00:00,2301.95,2313.53,2298.71,2311.76
ETH,ETHUSDT,2026-05-01T18:00:00+00:00,2311.76,2312.5,2303.45,2304.76
ETH,ETHUSDT,2026-05-01T19:00:00+00:00,2304.77,2307.84,2302.2,2304.85
ETH,ETHUSDT,2026-05-01T20:00:00+00:00,2304.85,2305.86,2278.98,2285.19
ETH,ETHUSDT,2026-05-01T21:00:00+00:00,2285.18,2294.25,2283.58,2292.68
ETH,ETHUSDT,2026-05-01T22:00:00+00:00,2292.67,2299.35,2291.0,2293.5
ETH,ETHUSDT,2026-05-01T23:00:00+00:00,2293.5,2296.23,2289.0,2295.63
ETH,ETHUSDT,2026-05-02T00:00:00+00:00,2295.63,2299.3,2292.91,2297.6
ETH,ETHUSDT,2026-05-02T01:00:00+00:00,2297.59,2300.98,2295.88,2298.63
ETH,ETHUSDT,2026-05-02T02:00:00+00:00,2298.62,2308.34,2295.43,2303.31
ETH,ETHUSDT,2026-05-02T03:00:00+00:00,2303.31,2308.34,2301.01,2304.44
ETH,ETHUSDT,2026-05-02T04:00:00+00:00,2304.43,2304.91,2299.59,2301.26
ETH,ETHUSDT,2026-05-02T05:00:00+00:00,2301.26,2301.52,2296.62,2299.47
ETH,ETHUSDT,2026-05-02T06:00:00+00:00,2299.46,2306.35,2297.09,2305.58
ETH,ETHUSDT,2026-05-02T07:00:00+00:00,2305.59,2306.16,2301.01,2301.02
ETH,ETHUSDT,2026-05-02T08:00:00+00:00,2301.01,2304.44,2299.05,2303.35
ETH,ETHUSDT,2026-05-02T09:00:00+00:00,2303.34,2307.78,2303.34,2305.13
ETH,ETHUSDT,2026-05-02T10:00:00+00:00,2305.13,2305.96,2302.41,2303.54
ETH,ETHUSDT,2026-05-02T11:00:00+00:00,2303.54,2304.99,2300.25,2302.1
ETH,ETHUSDT,2026-05-02T12:00:00+00:00,2302.09,2302.1,2302.02,2302.02
