rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,2085668454899.4724,61.6171803,1243112420383.3435,93.54031213,14270756443.937384,88747719796.10506
2,Coinbase Exchange,coinbase-exchange,57115744541.44702,84.46814168,14223308573.792437,96.63234554,3427893776.475676,0.0
3,Upbit,upbit,39122907592.26016,14.49909491,7191741296.124313,46.94155908,1333626413.3138297,0.0
6,OKX,okx,849293166348.9478,81.70304794,172913159122.54636,89.12681636,2866493081.0226226,37998173987.9809
7,Bybit,bybit,775182394233.8091,82.48167379,199636620356.91,94.36977255,5197901248.002784,22695233211.11257
8,Bitget,bitget,456081825429.4294,82.27181524,110269297167.07764,87.99827355,1982026100.885134,14701677631.066727
9,Gate,gate,373748351098.781,67.74526488,91894795869.58688,97.59991279,4135411529.779993,19347433838.45933
12,KuCoin,kucoin,212171678547.03104,16.91571508,33957038335.17709,60.20053031,2078980092.4123702,3655185929.112468
15,MEXC,mexc,180548672893.87143,-30.71987051,45226471318.506676,22.40743273,2557246259.969629,18729796686.23923
20,HTX,htx,114878793355.08347,12.19857268,29006357671.849335,87.69232227,1612222117.0557537,2654278878.7307625
