date,btc_dvol_close,eth_dvol_close
2026-06-01,37.27,49.25
2026-06-02,43.28,55.62
2026-06-03,47.9,60.4
2026-06-04,46.17,59.46
2026-06-05,49.14,68.3
2026-06-06,48.62,69.23
2026-06-07,49.37,67.21
2026-06-08,45.64,61.26
2026-06-09,46.24,61.31
2026-06-10,46.96,61.15
2026-06-11,43.27,56.84
2026-06-12,40.47,55.52
2026-06-13,40.77,55.59
2026-06-14,40.33,55.49
2026-06-15,38.72,54.25
2026-06-16,37.67,54.02
2026-06-17,39.54,55.98
2026-06-18,42.47,58.18
2026-06-19,40.54,57.13
2026-06-20,39.85,56.39
2026-06-21,41.76,58.17
2026-06-22,40.41,55.82
2026-06-23,41.56,56.18
2026-06-24,45.12,58.83
2026-06-25,46.56,60.76
2026-06-26,45.5,59.77
2026-06-27,45.17,59.87
2026-06-28,47.66,61.32
2026-06-29,42.65,57.93
2026-06-30,44.54,58.98
