protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,DAI,3.053392040735992,,3.00788,4.779252591337321,16818533.0,,,85.90148820908108,199918702.0,179926831.8,16818703.327245012,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940215+00:00
Aave,Ethereum,USDS,0.42314491679199817,,0.42222,5.740965886217514,11183637.0,,,10.085686415192296,49986185.0,34190550.54,11183576.017328022,False,False,False,6,审计成熟/头部流动性,1,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940279+00:00
Aave,Ethereum,PYUSD,3.097439484922462,,3.05044,4.512131342842207,2600284.0,,,76.79932335426008,21000298.83,18000256.14,2601283.6884321524,True,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940588+00:00
Aave,Ethereum,USDT,2.7124711172449785,4.31,6.96035,3.661141398988224,78742946.0,,,82.70137336336964,3476346000.0,2337543000.0,452879729.37098986,True,False,False,7,审计成熟/头部流动性,2,a90d554a-b548-4f50-b03e-9dcb724b7777,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940035+00:00
Aave,Ethereum,USDC,4.247529170541055,3.67,7.63948,5.107556814806236,62940476.0,,,92.78482052421244,2499236700.0,2249313030.0,145412627.88264072,True,False,False,7,审计成熟/头部流动性,2,6f00d46b-8735-49ae-9ced-2a0fccc56ad0,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940058+00:00
Aave,Arbitrum,USDC,2.549454276722855,,2.52547,3.588819097350674,34482731.0,,,79.33321515353948,249907767.5,224916990.75,34766223.77413664,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940118+00:00
Aave,Base,USDC,3.210155894626654,,3.1565,4.278749662289602,28407423.0,,,83.79471604715661,229938615.3,206944753.77,28326620.344641693,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940143+00:00
Aave,Arbitrum,DAI,1.8417581701154584,,1.82345,3.745307654696703,1263954.0,,,66.18363167846113,4898713.407,4408842.0663,1263135.7873445672,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-02T12:02:57.940798+00:00
Spark,Ethereum,USDT,2.5,,2.5,,860409767.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-07-02T12:02:57.939861+00:00
Spark,Ethereum,USDC,3.6,,3.6,,314117413.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,c5c74dd1-995c-4445-9d84-3e710bad7d52,DefiLlama,DefiLlama,2026-07-02T12:02:57.939931+00:00
Spark,Ethereum,USDS,2.20168,,2.20168,,182562711.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,0ed981dc-b49d-426d-ade5-6014728b1ef9,DefiLlama,DefiLlama,2026-07-02T12:02:57.939963+00:00
Spark,Ethereum,DAI,2.33935,,2.33935,,100126597.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,DefiLlama,DefiLlama,2026-07-02T12:02:57.940002+00:00
Spark,Ethereum,PYUSD,0.26236,,0.26236,,92094258.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,995b269a-8409-4c55-b97e-868f443b432e,DefiLlama,DefiLlama,2026-07-02T12:02:57.940018+00:00
Spark,Ethereum,SUSDS,0.0,,0.0,,3280345.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,d3694b72-5bc4-44c9-8ab6-1fc7941d216a,DefiLlama,DefiLlama,2026-07-02T12:02:57.940527+00:00
Compound,Ethereum,USDS,4.2340356811152,0.0,4.2340356811152,5.1197097534767995,1885660.7437210933,1885660.7437210933,1702961.6334911857,90.31102493371444,,,,,,,9,成熟协议/资金利用率驱动,3,0x5d409e56d886231adaf00c8775665ad0f9897b56,Compound API,Compound API,2026-07-02T12:03:09.443426+00:00
Spark,Arbitrum,USDS,3.6,,3.6,,360140986.0,,,,,,,,,,2,Aave系改造/审计覆盖,3,9d499222-a01a-45bb-bbc9-f01c7923693b,DefiLlama,DefiLlama,2026-07-02T12:02:57.939922+00:00
Spark,Base,USDS,3.6,,3.6,,223342889.0,,,,,,,,,,2,Aave系改造/审计覆盖,3,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,DefiLlama,DefiLlama,2026-07-02T12:02:57.939947+00:00
Compound,Ethereum,USDC,3.1089710443536,0.09427331795474858,3.2032443623083484,3.8989165984848,336963274.0384121,336963274.0384121,291002539.267572,86.36030684057039,,,,,,,9,成熟协议/资金利用率驱动,4,0xc3d688b66703497daa19211eedff47f25384cdc3,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-02T12:03:09.443298+00:00
Compound,Ethereum,USDT,2.6848542665807997,0.0890474141138281,2.7739016806946277,3.5716633795008,194584666.57818615,194584666.57818615,145119922.04333043,74.57928522177659,,,,,,,9,成熟协议/资金利用率驱动,4,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-02T12:03:09.443387+00:00
Compound,Arbitrum,USDT,1.8496256244768001,0.0,1.8496256244768001,2.9271916809648,19716299.148024928,19716299.148024928,10129938.087676069,51.3784896317092,,,,,,,9,成熟协议/资金利用率驱动,4,0xd98be00b5d27fc98112bde293e487f8d4ca57d07,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-02T12:03:09.443509+00:00
Compound,Arbitrum,USDC,2.5400698573248,0.0,2.5400698573248,3.4599461187311995,16024308.396360315,16024308.396360315,11306352.20812903,70.5574960694747,,,,,,,9,成熟协议/资金利用率驱动,4,0x9c4ec768c28520b50860ea7a15bd7213a9ff58bf,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-02T12:03:09.443469+00:00
Compound,Base,USDC,3.9696877849104,0.0,3.9696877849104,4.821946163452799,8443280.553702535,8443280.553702535,7618229.67722118,90.22831282575791,,,,,,,9,成熟协议/资金利用率驱动,4,0xb125e6687d4313864e53df431d5425969c15eb2f,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-02T12:03:09.443544+00:00
Compound,Base,USDS,1.0538180829792,0.0,1.0538180829792,2.4757574802192,551235.212738145,551235.212738145,107580.17292860243,19.51514969767033,,,,,,,9,成熟协议/资金利用率驱动,4,0x2c776041ccfe903071af44aa147368a9c8eea518,Compound API,Compound API,2026-07-02T12:03:09.443580+00:00
