source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.010482,3.8259300000000005,500000.0,VIP0,daily,2026-07-26T01:27:22.105125+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-07-26T01:27:22.841419+00:00
Backpack,USDT,0.01244409931892437,4.542096251407395,50000000.0,Public,annual,2026-07-26T01:27:24.343453+00:00
Binance,USDC,0.012184,4.44716,500000.0,VIP0,daily,2026-07-26T01:27:22.105385+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-07-26T01:27:22.841568+00:00
Backpack,USDC,0.005989847000030647,2.1862941550111863,300000000.0,Public,annual,2026-07-26T01:27:24.343535+00:00
Binance,BTC,0.001052,0.38397999999999993,100.0,VIP0,daily,2026-07-26T01:27:22.105646+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-07-26T01:27:22.841944+00:00
Backpack,BTC,0.0012212772934269505,0.44576621210083694,3000.0,Public,annual,2026-07-26T01:27:24.343574+00:00
Binance,ETH,0.006121000000000001,2.234165,2000.0,VIP0,daily,2026-07-26T01:27:22.105686+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-07-26T01:27:22.841963+00:00
Backpack,ETH,0.001542765205936501,0.5631093001668228,20000.0,Public,annual,2026-07-26T01:27:24.343586+00:00
