asset,symbol,timestamp_utc,open_usd,high_usd,low_usd,close_usd,source
BTC,BTCUSDT,2026-07-25T03:00:00+00:00,64031.12,64085.85,64019.17,64083.74,Binance.US fallback
BTC,BTCUSDT,2026-07-25T04:00:00+00:00,64105.06,64186.77,64100.63,64152.13,Binance.US fallback
BTC,BTCUSDT,2026-07-25T05:00:00+00:00,64178.31,64188.16,64000.0,64016.37,Binance.US fallback
BTC,BTCUSDT,2026-07-25T06:00:00+00:00,64028.46,64059.3,63968.76,63979.35,Binance.US fallback
BTC,BTCUSDT,2026-07-25T07:00:00+00:00,64009.9,64042.84,64000.42,64021.99,Binance.US fallback
BTC,BTCUSDT,2026-07-25T08:00:00+00:00,64002.7,64015.22,63813.18,63870.63,Binance.US fallback
BTC,BTCUSDT,2026-07-25T09:00:00+00:00,63875.98,63984.13,63826.82,63984.13,Binance.US fallback
BTC,BTCUSDT,2026-07-25T10:00:00+00:00,64012.07,64043.11,63994.17,64043.11,Binance.US fallback
BTC,BTCUSDT,2026-07-25T11:00:00+00:00,64052.73,64087.43,64050.98,64062.22,Binance.US fallback
BTC,BTCUSDT,2026-07-25T12:00:00+00:00,64061.37,64118.5,64040.83,64118.5,Binance.US fallback
BTC,BTCUSDT,2026-07-25T13:00:00+00:00,64113.89,64255.68,64112.09,64173.7,Binance.US fallback
BTC,BTCUSDT,2026-07-25T14:00:00+00:00,64183.65,64213.13,64133.58,64213.13,Binance.US fallback
BTC,BTCUSDT,2026-07-25T15:00:00+00:00,64194.13,64283.26,64183.26,64195.84,Binance.US fallback
BTC,BTCUSDT,2026-07-25T16:00:00+00:00,64193.49,64246.12,64129.9,64212.73,Binance.US fallback
BTC,BTCUSDT,2026-07-25T17:00:00+00:00,64212.73,64349.14,64212.73,64265.56,Binance.US fallback
BTC,BTCUSDT,2026-07-25T18:00:00+00:00,64260.0,64444.87,64260.0,64425.56,Binance.US fallback
BTC,BTCUSDT,2026-07-25T19:00:00+00:00,64406.01,64451.75,64399.4,64405.43,Binance.US fallback
BTC,BTCUSDT,2026-07-25T20:00:00+00:00,64374.67,64394.64,64319.17,64341.68,Binance.US fallback
BTC,BTCUSDT,2026-07-25T21:00:00+00:00,64335.91,64399.42,64270.0,64349.28,Binance.US fallback
BTC,BTCUSDT,2026-07-25T22:00:00+00:00,64349.28,64424.26,64349.28,64420.0,Binance.US fallback
BTC,BTCUSDT,2026-07-25T23:00:00+00:00,64412.17,64424.48,64362.82,64362.82,Binance.US fallback
BTC,BTCUSDT,2026-07-26T00:00:00+00:00,64355.98,64490.94,64349.28,64490.94,Binance.US fallback
BTC,BTCUSDT,2026-07-26T01:00:00+00:00,64500.0,64535.93,64469.18,64473.36,Binance.US fallback
ETH,ETHUSDT,2026-07-25T03:00:00+00:00,1859.38,1860.28,1856.28,1857.11,Binance.US fallback
ETH,ETHUSDT,2026-07-25T04:00:00+00:00,1859.78,1862.87,1858.75,1861.08,Binance.US fallback
ETH,ETHUSDT,2026-07-25T05:00:00+00:00,1861.78,1862.95,1857.51,1858.9,Binance.US fallback
ETH,ETHUSDT,2026-07-25T06:00:00+00:00,1859.14,1859.14,1855.55,1858.09,Binance.US fallback
ETH,ETHUSDT,2026-07-25T07:00:00+00:00,1858.35,1858.35,1856.35,1856.55,Binance.US fallback
ETH,ETHUSDT,2026-07-25T08:00:00+00:00,1855.57,1855.57,1851.93,1853.88,Binance.US fallback
ETH,ETHUSDT,2026-07-25T09:00:00+00:00,1852.29,1858.31,1852.29,1857.74,Binance.US fallback
ETH,ETHUSDT,2026-07-25T10:00:00+00:00,1858.48,1859.6,1857.07,1857.07,Binance.US fallback
ETH,ETHUSDT,2026-07-25T11:00:00+00:00,1858.65,1859.92,1857.95,1858.06,Binance.US fallback
ETH,ETHUSDT,2026-07-25T12:00:00+00:00,1858.14,1859.9,1857.23,1859.9,Binance.US fallback
ETH,ETHUSDT,2026-07-25T13:00:00+00:00,1860.58,1871.91,1860.58,1867.53,Binance.US fallback
ETH,ETHUSDT,2026-07-25T14:00:00+00:00,1867.51,1869.27,1865.38,1868.97,Binance.US fallback
ETH,ETHUSDT,2026-07-25T15:00:00+00:00,1867.29,1871.25,1867.29,1868.01,Binance.US fallback
ETH,ETHUSDT,2026-07-25T16:00:00+00:00,1868.12,1870.76,1865.08,1868.02,Binance.US fallback
ETH,ETHUSDT,2026-07-25T17:00:00+00:00,1869.2,1874.84,1868.36,1872.33,Binance.US fallback
ETH,ETHUSDT,2026-07-25T18:00:00+00:00,1873.92,1876.68,1873.43,1875.49,Binance.US fallback
ETH,ETHUSDT,2026-07-25T19:00:00+00:00,1875.08,1876.76,1875.03,1876.36,Binance.US fallback
ETH,ETHUSDT,2026-07-25T20:00:00+00:00,1873.32,1874.38,1870.81,1871.73,Binance.US fallback
ETH,ETHUSDT,2026-07-25T21:00:00+00:00,1870.93,1874.65,1867.75,1872.0,Binance.US fallback
ETH,ETHUSDT,2026-07-25T22:00:00+00:00,1873.04,1877.17,1872.78,1876.69,Binance.US fallback
ETH,ETHUSDT,2026-07-25T23:00:00+00:00,1876.17,1876.32,1873.83,1874.97,Binance.US fallback
ETH,ETHUSDT,2026-07-26T00:00:00+00:00,1874.73,1881.18,1874.11,1881.12,Binance.US fallback
ETH,ETHUSDT,2026-07-26T01:00:00+00:00,1880.42,1880.45,1878.82,1879.18,Binance.US fallback
