rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,21613823852.163055,-60.02664361,4489993253.520901,17123830598.642153
2,Coinbase Exchange,coinbase-exchange,402165556.3062546,-60.83837067,402165556.3062546,0.0
3,Upbit,upbit,406599051.09461385,-20.04387995,406599051.09461385,0.0
6,OKX,okx,8133417525.015371,-61.28043598,568107989.5180311,7565309535.49734
7,Bybit,bybit,4853653907.629752,-55.61216495,633433965.2066978,4220219942.4230547
8,Bitget,bitget,2601158322.2864146,-65.90963319,233067689.85099676,2368090632.435418
9,Gate,gate,3677790967.16157,-65.9927846,518099013.15154004,3159691954.01003
10,KuCoin,kucoin,1180516265.7504623,-48.07479042,465464026.19886225,715052239.5516001
12,MEXC,mexc,6614203264.396714,-52.73920866,643702155.9211652,5970501108.475549
19,HTX,htx,1156529004.0229418,-48.29405269,673808789.2114073,482720214.8115345
