asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.52,3.52,,4687857599.0,DefiLlama API
USYC,circle-usyc,BSC,3.04856,3.04856,,2913651074.0,DefiLlama API
USDC,maple,Ethereum,4.86129,4.86129,0.0,2554247530.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,4.13067,4.13067,,1536674060.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,1107526123.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.569,3.569,,963102522.0,DefiLlama API
USDS,centrifuge-protocol,Ethereum,2.80334,2.80334,,870118433.0,DefiLlama API
USDT,maple,Ethereum,4.37331,4.37331,0.0,869843869.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.2279,3.2279,,821883701.0,DefiLlama API
USTB,invesco-ustb,Ethereum,3.3172,3.3172,,717737968.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.5379,3.5379,,653839521.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.53816,3.53816,,634198350.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,533281366.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.0836,,2.0836,508893462.0,DefiLlama API
USDD,justlend-v1,Tron,3.98232,0.00065,3.98166,450606497.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.64082,4.64082,0.0,425870051.0,DefiLlama API
USDC,jupiter-lend,Solana,4.94889,4.21623,0.73266,415482247.0,DefiLlama API
AUSD,centrifuge-protocol,Ethereum,4.57588,4.57588,,373852748.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.65496,4.65496,0.0,371132314.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.52,3.52,,360908290.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.68,7.68,,328516286.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,5.00557,1.90867,3.09691,315011179.0,DefiLlama API
SENRLUSDV2,morpho-blue,Ethereum,5.99926,2.55547,3.44378,280206510.0,DefiLlama API
USDC,centrifuge-protocol,Avalanche,4.57588,4.57588,,260478577.0,DefiLlama API
SIRLOINUSDC,morpho-blue,Base,5.34617,2.62751,2.71866,260214981.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,257807003.0,DefiLlama API
USDE,morpho-blue,Base,4.5,0.0,4.5,256785431.0,DefiLlama API
USDG,maple,Ethereum,5.05815,5.05815,0.0,223698320.0,DefiLlama API
USDS,sky-lending,Ethereum,6.15872,,6.15872,211600362.0,DefiLlama API
SDAI,sky-lending,Ethereum,1.25,1.25,,210938108.0,DefiLlama API
STEAKUSDG,morpho-blue,Robinhood Chain,6.45447,2.6537,3.80077,193048322.0,DefiLlama API
STUSDS,sky-lending,Ethereum,6.48,6.48,,189809684.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,181661313.0,DefiLlama API
USDE,morpho-blue,Robinhood Chain,4.5,0.0,4.5,180657483.0,DefiLlama API
USDC,pareto-credit,Ethereum,8.31317,8.31317,,170713978.0,DefiLlama API
REUSD,re,Ethereum,6.20122,6.20122,,165647005.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,13.90317,13.90317,,153105053.0,DefiLlama API
SENPYUSDPRIMEV2,morpho-blue,Ethereum,5.97016,3.23379,2.73637,150122526.0,DefiLlama API
USDC,fluid-lending,Ethereum,5.62,5.62,,141163390.0,DefiLlama API
USDT,fluid-lending,Ethereum,4.29,4.29,,139662882.0,DefiLlama API
USD1,lista-lending,BSC,0.55215,0.55215,0.0,137874475.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,137345293.0,DefiLlama API
USD1,dolomite,Ethereum,7.18201,1.4367,5.7453,135640831.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,123817261.0,DefiLlama API
AUSD,accountable,Monad,6.82624,6.5475,0.27874,111476047.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.2279,3.2279,,110691029.0,DefiLlama API
STEAKEURCV,morpho-blue,Ethereum,3.5,3.5,0.0,109970774.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,8.29312,8.29312,,98206556.0,DefiLlama API
USDC,accountable,Monad,17.77424,17.6,0.17424,94151847.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.04856,3.04856,,90953951.0,DefiLlama API
STEAKUSDT,morpho-blue,Ethereum,3.68294,3.68294,0.0,87723929.0,DefiLlama API
GTUSDCP,morpho-blue,Ethereum,4.13911,4.13911,0.0,80466438.0,DefiLlama API
ETHENAUSDC,morpho-blue,Base,4.16522,4.16522,0.0,79915052.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,4.19869,4.19869,0.0,79145329.0,DefiLlama API
MSUSD,mainstreet,Ethereum,6.61774,6.61774,0.0,74374100.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,5.30136,3.80024,1.50112,70798141.0,DefiLlama API
USDC,midas-rwa,Ethereum,10.38,10.38,,70271772.0,DefiLlama API
STCUSD,cap,Ethereum,5.95892,,,68781519.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.31185,5.31185,,68175956.0,DefiLlama API
USD3,3jane-lending,Ethereum,6.82215,6.82215,,66830957.0,DefiLlama API
USDT,venus-core-pool,BSC,2.38321,2.38321,0.0,65872801.0,DefiLlama API
SFRAX,frax,Ethereum,1.24973,1.24973,,65126818.0,DefiLlama API
SKYMONEYUSDTSAVINGS,morpho-blue,Ethereum,3.32945,2.51345,0.81601,63190250.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,3.20273,3.20273,,61413308.0,DefiLlama API
STUSDT,stusdt,Tron,3.48564,,,60044469.0,DefiLlama API
SDAI,sdai,Gnosis,4.34413,4.34413,,58133782.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,8.33,,,56919322.0,DefiLlama API
GTUSDA,gauntlet,Base,4.83185,4.83185,,52250244.0,DefiLlama API
USDC,centrifuge-protocol,Base,4.57588,4.57588,,50228779.0,DefiLlama API
U,lista-lending,BSC,1.25486,1.25486,0.0,49858314.0,DefiLlama API
USDT0,fluid-lending,Plasma,5.11,4.64,0.47,46156789.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,2.67153,2.65991,0.01162,45568891.0,DefiLlama API
BBQUSDC,morpho-blue,Ethereum,4.84573,4.84573,0.0,41303411.0,DefiLlama API
SUSDU,unitas,BSC,9.95629,9.95629,,41114232.0,DefiLlama API
HYPERUSDCA,morpho-blue,Monad,9.56154,8.39064,1.17091,39441687.0,DefiLlama API
AUSD,euler-v2,Monad,7.65133,5.15133,2.5,38656111.0,DefiLlama API
SIUSD,infinifi,Ethereum,5.82875,5.82875,,38527152.0,DefiLlama API
USDC,fluid-lite,Ethereum,8.08,,,37096784.0,DefiLlama API
XUSDC,multipli.fi,Ethereum,3.81,,,36415767.0,DefiLlama API
VUSD,curvance,Monad,0.77176,0.0,0.77176,36087007.0,DefiLlama API
ARMUSDCS,morpho-blue,Ethereum,4.78626,4.75112,0.03514,35999744.0,DefiLlama API
USDC,goldfinch,Ethereum,10.21226,10.21226,,35955715.0,DefiLlama API
SKYMONEYUSDSFLAGSHIP,morpho-blue,Ethereum,4.75754,0.55859,4.19895,35653030.0,DefiLlama API
USDC,fluid-lending,Arbitrum,5.65,5.65,,35432827.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,5.00351,,,34238830.0,DefiLlama API
CTDEFIUSDT,concrete,Ethereum,11.60963,11.60963,,34224835.0,DefiLlama API
YUSD,aegis-yusd,Ethereum,5.82,,,34157083.0,DefiLlama API
PLASMAUSD,veda,Plasma,3.47672,3.47672,,33246951.0,DefiLlama API
USDG,aave-v4,Ethereum,0.79477,0.79477,,32476022.0,DefiLlama API
