protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,total_apy_method,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,DAI,3.3749051271803325,,3.3749051271803325,supply_plus_rewards,5.02661876596726,10919260.0,,,90.24027809635213,199971290.0,179974161.0,10919193.162247652,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.707825+00:00
Aave,Ethereum,PYUSD,2.859259261064187,,2.859259261064187,supply_plus_rewards,4.356770969470414,2887735.0,,,73.45208422815462,20998963.65,17999111.7,2888600.8635210744,False,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.708361+00:00
Aave,Ethereum,USDT,2.819228426586845,4.25,7.069228426586845,supply_plus_rewards,3.7328176298438653,80656195.0,,,84.29116242765812,3476763600.0,3087126300.0,463791851.7874096,True,False,False,7,审计成熟/头部流动性,2,a90d554a-b548-4f50-b03e-9dcb724b7777,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.707258+00:00
Aave,Ethereum,USDC,3.183224901126764,3.53,6.713224901126764,supply_plus_rewards,3.9674682284413163,65814000.0,,,89.48676092706206,2499893350.0,2249904015.0,226615352.5422872,True,False,False,7,审计成熟/头部流动性,2,6f00d46b-8735-49ae-9ced-2a0fccc56ad0,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.707314+00:00
Aave,Ethereum,USDS,0.14119163641746676,3.35516,3.496351636417467,supply_plus_rewards,5.683378040421276,11882907.0,,,3.403918077503592,49995065.0,34196624.46,11883261.126001224,False,False,False,7,审计成熟/头部流动性,2,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.707800+00:00
Aave,Arbitrum,USDC,2.659479762802807,,2.659479762802807,supply_plus_rewards,3.6658246457670565,32323460.0,,,81.00519463839369,249978667.5,224980800.75,32339575.08022811,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.707482+00:00
Aave,Base,USDC,3.5770422698233504,,3.5770422698233504,supply_plus_rewards,4.517823715917676,20047636.0,,,88.37474833932797,229984258.8,206985832.92,20047229.714822993,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.707630+00:00
Aave,Arbitrum,DAI,2.0269674578698096,,2.0269674578698096,supply_plus_rewards,3.9308620555965232,1091469.0,,,69.40047339945195,4898852.665,4408967.3985,1091617.1471536406,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T01:27:26.708854+00:00
Spark,Ethereum,USDT,2.75,,2.75,supply_plus_rewards,,410399980.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-07-26T01:27:26.707089+00:00
Spark,Ethereum,USDS,2.03489,,2.03489,supply_plus_rewards,,277629980.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,0ed981dc-b49d-426d-ade5-6014728b1ef9,DefiLlama,DefiLlama,2026-07-26T01:27:26.707114+00:00
