source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.010362,3.7821300000000004,500000.0,VIP0,daily,2026-07-26T12:02:30.291585+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-07-26T12:02:31.263220+00:00
Backpack,USDT,0.012429352176174701,4.536713544303766,50000000.0,Public,annual,2026-07-26T12:02:33.003358+00:00
Binance,USDC,0.011337,4.138005,500000.0,VIP0,daily,2026-07-26T12:02:30.291784+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-07-26T12:02:31.263314+00:00
Backpack,USDC,0.005995279697461878,2.1882770895735857,300000000.0,Public,annual,2026-07-26T12:02:33.003451+00:00
Binance,BTC,0.001052,0.38397999999999993,100.0,VIP0,daily,2026-07-26T12:02:30.292133+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-07-26T12:02:31.263565+00:00
Backpack,BTC,0.001481052844118163,0.5405842881031295,3000.0,Public,annual,2026-07-26T12:02:33.003479+00:00
Binance,ETH,0.006121000000000001,2.234165,2000.0,VIP0,daily,2026-07-26T12:02:30.292192+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-07-26T12:02:31.263576+00:00
Backpack,ETH,0.0015267059373354575,0.557247667127442,20000.0,Public,annual,2026-07-26T12:02:33.003487+00:00
