protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,total_apy_method,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,DAI,3.3576746308472996,,3.3576746308472996,supply_plus_rewards,5.01366916082914,11175245.0,,,90.01347154619708,199973384.0,179976045.6,11173656.512567839,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.839744+00:00
Aave,Ethereum,PYUSD,2.8707649620217603,,2.8707649620217603,supply_plus_rewards,4.3644197727800895,2888397.0,,,73.61680232584187,20998963.65,17999111.7,2864402.8420243706,False,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.840077+00:00
Aave,Ethereum,USDT,2.8149335267210995,4.25,7.0649335267210995,supply_plus_rewards,3.7299606546748194,80661535.0,,,84.2278102096114,3476763600.0,3087126300.0,465671709.8596367,True,False,False,7,审计成熟/头部流动性,2,a90d554a-b548-4f50-b03e-9dcb724b7777,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.839527+00:00
Aave,Ethereum,USDC,3.171618184716714,3.53,6.701618184716714,supply_plus_rewards,3.9602011539200896,65716290.0,,,89.32599589294242,2499893350.0,2249904015.0,230543064.52878362,True,False,False,7,审计成熟/头部流动性,2,6f00d46b-8735-49ae-9ced-2a0fccc56ad0,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.839547+00:00
Aave,Ethereum,USDS,0.14183139025235028,3.36887,3.51070139025235,supply_plus_rewards,5.683510135289769,11831347.0,,,3.418600634377214,49995065.0,34196624.46,11831215.546762928,False,False,False,7,审计成熟/头部流动性,2,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.839733+00:00
Aave,Arbitrum,USDC,2.6593805446131658,,2.6593805446131658,supply_plus_rewards,3.6657559339742574,32331698.0,,,81.00370108396166,249978667.5,224980800.75,32325756.97745444,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.839604+00:00
Aave,Base,USDC,3.5880933443842946,,3.5880933443842946,supply_plus_rewards,4.524828461424944,19591542.0,,,88.50878224705902,229984258.8,206985832.92,19799491.592643566,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.839664+00:00
Aave,Arbitrum,DAI,2.0302765816455457,,2.0302765816455457,supply_plus_rewards,3.9340991434641577,1088794.0,,,69.45628392812782,4899551.111,4409595.9999,1089110.4821563547,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-26T12:02:36.840603+00:00
Spark,Ethereum,USDT,2.75,,2.75,supply_plus_rewards,,410399980.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-07-26T12:02:36.839440+00:00
Spark,Ethereum,USDS,2.03489,,2.03489,supply_plus_rewards,,277661399.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,0ed981dc-b49d-426d-ade5-6014728b1ef9,DefiLlama,DefiLlama,2026-07-26T12:02:36.839458+00:00
Spark,Ethereum,USDC,3.6,,3.6,supply_plus_rewards,,273298930.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,c5c74dd1-995c-4445-9d84-3e710bad7d52,DefiLlama,DefiLlama,2026-07-26T12:02:36.839466+00:00
Spark,Ethereum,DAI,2.16849,,2.16849,supply_plus_rewards,,112328892.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,DefiLlama,DefiLlama,2026-07-26T12:02:36.839504+00:00
Spark,Ethereum,PYUSD,0.29064,,0.29064,supply_plus_rewards,,91132410.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,995b269a-8409-4c55-b97e-868f443b432e,DefiLlama,DefiLlama,2026-07-26T12:02:36.839517+00:00
Spark,Ethereum,SUSDS,0.0,,0.0,supply_plus_rewards,,3288767.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,d3694b72-5bc4-44c9-8ab6-1fc7941d216a,DefiLlama,DefiLlama,2026-07-26T12:02:36.840031+00:00
Compound,Ethereum,USDS,4.5324832396752,0.0,4.5324832396752,supply_plus_rewards,5.4558834693264,1828083.8725169587,1828083.8725169587,1652670.3790661388,90.40440652181341,,,,,,,9,成熟协议/资金利用率驱动,3,0x5d409e56d886231adaf00c8775665ad0f9897b56,Compound API,Compound API,2026-07-26T12:02:47.847535+00:00
Spark,Arbitrum,USDS,3.6,,3.6,supply_plus_rewards,,361823561.0,,,,,,,,,,2,Aave系改造/审计覆盖,3,9d499222-a01a-45bb-bbc9-f01c7923693b,DefiLlama,DefiLlama,2026-07-26T12:02:36.839449+00:00
Spark,Base,USDS,3.6,,3.6,supply_plus_rewards,,11982534.0,,,,,,,,,,2,Aave系改造/审计覆盖,3,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,DefiLlama,DefiLlama,2026-07-26T12:02:36.839725+00:00
Compound,Ethereum,USDC,3.112400013552,0.10106562185585476,3.2134656354078546,supply_plus_rewards,3.901562427888,345685734.59677404,345685734.59677404,298864731.19334954,86.4555560064192,,,,,,,9,成熟协议/资金利用率驱动,4,0xc3d688b66703497daa19211eedff47f25384cdc3,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-26T12:02:47.847398+00:00
Compound,Ethereum,USDT,2.9977902803232,0.10694038142276414,3.1047306617459642,supply_plus_rewards,3.8131282842192,178197557.46430588,178197557.46430588,148388830.39056268,83.27195227762184,,,,,,,9,成熟协议/资金利用率驱动,4,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-26T12:02:47.847507+00:00
Compound,Arbitrum,USDT,1.9469994042096002,0.0,1.9469994042096002,supply_plus_rewards,3.0023263712592,19609774.88757937,19609774.88757937,10605676.779467393,54.08331685496236,,,,,,,9,成熟协议/资金利用率驱动,4,0xd98be00b5d27fc98112bde293e487f8d4ca57d07,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-26T12:02:47.847585+00:00
Compound,Arbitrum,USDC,2.669240767752,0.0,2.669240767752,supply_plus_rewards,3.5596158327936003,15597217.596869579,15597217.596869579,11564663.574376823,74.14557696610302,,,,,,,9,成熟协议/资金利用率驱动,4,0x9c4ec768c28520b50860ea7a15bd7213a9ff58bf,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-26T12:02:47.847562+00:00
Compound,Base,USDC,4.7286048005856,0.0,4.7286048005856,supply_plus_rewards,5.676796369152,8389200.196748516,8389200.196748516,7589355.455484704,90.46577121577609,,,,,,,9,成熟协议/资金利用率驱动,4,0xb125e6687d4313864e53df431d5425969c15eb2f,DefiLlama+Compound API,"DefiLlama,Compound API",2026-07-26T12:02:47.847614+00:00
Compound,Base,USDS,1.2717872738064,0.0,1.2717872738064,supply_plus_rewards,2.6775808066944,457998.48201156256,457998.48201156256,107866.69690933218,23.551616224858765,,,,,,,9,成熟协议/资金利用率驱动,4,0x2c776041ccfe903071af44aa147368a9c8eea518,Compound API,Compound API,2026-07-26T12:02:47.847640+00:00
