asset,symbol,timestamp_utc,open_usd,high_usd,low_usd,close_usd,source
BTC,BTCUSDT,2026-07-28T14:00:00+00:00,63104.0,63550.0,62965.38,63412.45,Binance global
BTC,BTCUSDT,2026-07-28T15:00:00+00:00,63412.45,64026.62,63269.28,63928.47,Binance global
BTC,BTCUSDT,2026-07-28T16:00:00+00:00,63928.46,64100.0,63773.65,64043.26,Binance global
BTC,BTCUSDT,2026-07-28T17:00:00+00:00,64043.27,64043.27,63504.0,63685.88,Binance global
BTC,BTCUSDT,2026-07-28T18:00:00+00:00,63685.88,63849.09,63672.26,63734.49,Binance global
BTC,BTCUSDT,2026-07-28T19:00:00+00:00,63734.49,63904.0,63675.93,63904.0,Binance global
BTC,BTCUSDT,2026-07-28T20:00:00+00:00,63904.0,64018.39,63880.0,63917.55,Binance global
BTC,BTCUSDT,2026-07-28T21:00:00+00:00,63917.55,64073.3,63892.0,63972.44,Binance global
BTC,BTCUSDT,2026-07-28T22:00:00+00:00,63972.44,64020.76,63768.47,63783.71,Binance global
BTC,BTCUSDT,2026-07-28T23:00:00+00:00,63783.72,63956.4,63562.0,63915.0,Binance global
BTC,BTCUSDT,2026-07-29T00:00:00+00:00,63915.0,64200.0,63873.54,63953.99,Binance global
BTC,BTCUSDT,2026-07-29T01:00:00+00:00,63954.0,63999.0,63690.0,63705.06,Binance global
BTC,BTCUSDT,2026-07-29T02:00:00+00:00,63705.07,64132.42,63658.0,63979.96,Binance global
BTC,BTCUSDT,2026-07-29T03:00:00+00:00,63979.96,64002.0,63710.0,63753.03,Binance global
BTC,BTCUSDT,2026-07-29T04:00:00+00:00,63753.04,63970.92,63598.0,63968.34,Binance global
BTC,BTCUSDT,2026-07-29T05:00:00+00:00,63968.34,64094.2,63890.07,64067.32,Binance global
BTC,BTCUSDT,2026-07-29T06:00:00+00:00,64067.32,64471.0,64026.64,64435.62,Binance global
BTC,BTCUSDT,2026-07-29T07:00:00+00:00,64435.63,64575.99,64402.67,64561.0,Binance global
BTC,BTCUSDT,2026-07-29T08:00:00+00:00,64561.01,64588.0,64283.83,64417.31,Binance global
BTC,BTCUSDT,2026-07-29T09:00:00+00:00,64417.31,64744.81,64386.94,64698.0,Binance global
BTC,BTCUSDT,2026-07-29T10:00:00+00:00,64698.01,64718.0,64410.24,64469.83,Binance global
BTC,BTCUSDT,2026-07-29T11:00:00+00:00,64469.84,64591.73,64422.5,64507.54,Binance global
BTC,BTCUSDT,2026-07-29T12:00:00+00:00,64507.53,64507.54,64473.19,64477.91,Binance global
ETH,ETHUSDT,2026-07-28T14:00:00+00:00,1874.08,1893.46,1867.74,1888.95,Binance global
ETH,ETHUSDT,2026-07-28T15:00:00+00:00,1888.96,1924.41,1884.56,1920.02,Binance global
ETH,ETHUSDT,2026-07-28T16:00:00+00:00,1920.02,1928.95,1914.52,1925.92,Binance global
ETH,ETHUSDT,2026-07-28T17:00:00+00:00,1925.92,1925.92,1892.71,1901.89,Binance global
ETH,ETHUSDT,2026-07-28T18:00:00+00:00,1901.9,1914.93,1901.6,1911.22,Binance global
ETH,ETHUSDT,2026-07-28T19:00:00+00:00,1911.22,1922.23,1911.22,1922.23,Binance global
ETH,ETHUSDT,2026-07-28T20:00:00+00:00,1922.24,1923.84,1916.16,1918.57,Binance global
ETH,ETHUSDT,2026-07-28T21:00:00+00:00,1918.57,1929.67,1918.47,1923.95,Binance global
ETH,ETHUSDT,2026-07-28T22:00:00+00:00,1923.96,1927.1,1910.1,1911.9,Binance global
ETH,ETHUSDT,2026-07-28T23:00:00+00:00,1911.9,1923.1,1904.06,1922.23,Binance global
ETH,ETHUSDT,2026-07-29T00:00:00+00:00,1922.22,1928.51,1916.34,1917.27,Binance global
ETH,ETHUSDT,2026-07-29T01:00:00+00:00,1917.27,1918.16,1905.0,1905.7,Binance global
ETH,ETHUSDT,2026-07-29T02:00:00+00:00,1905.69,1919.67,1901.17,1911.1,Binance global
ETH,ETHUSDT,2026-07-29T03:00:00+00:00,1911.11,1913.04,1891.17,1892.7,Binance global
ETH,ETHUSDT,2026-07-29T04:00:00+00:00,1892.7,1906.43,1884.51,1905.52,Binance global
ETH,ETHUSDT,2026-07-29T05:00:00+00:00,1905.52,1914.99,1903.53,1912.54,Binance global
ETH,ETHUSDT,2026-07-29T06:00:00+00:00,1912.53,1921.71,1908.89,1920.18,Binance global
ETH,ETHUSDT,2026-07-29T07:00:00+00:00,1920.19,1925.68,1914.1,1924.71,Binance global
ETH,ETHUSDT,2026-07-29T08:00:00+00:00,1924.71,1925.35,1912.11,1915.08,Binance global
ETH,ETHUSDT,2026-07-29T09:00:00+00:00,1915.08,1924.73,1914.94,1922.31,Binance global
ETH,ETHUSDT,2026-07-29T10:00:00+00:00,1922.31,1922.58,1910.0,1912.16,Binance global
ETH,ETHUSDT,2026-07-29T11:00:00+00:00,1912.16,1917.07,1910.35,1915.26,Binance global
ETH,ETHUSDT,2026-07-29T12:00:00+00:00,1915.26,1915.27,1913.17,1913.18,Binance global
