year,month,monthly_change_pct,month_end_market_cap_usd
2025,1,,3568224709032.81
2025,2,-21.22905090760624,2810724469054.45
2025,3,-5.175489366790087,2665255723028.77
2025,4,10.690519954316757,2950185417932.73
2025,5,10.421694362743628,3257644725323.91
2025,6,2.5400526865209994,3340390617686.81
2025,7,15.472471123248678,3857231591412.11
2025,8,-2.0736980683930706,3777244254407.55
2025,9,3.9803527375457337,3927591899491.65
2025,10,-7.204329455618419,3644635239380.09
2025,11,-15.310384898729957,3086627556076.25
2025,12,-3.164947462177614,2988937415573.34
2026,1,-4.944308702575572,2841155122820.61
2026,2,-6.357653770583472,2660524317026.48
2026,3,,
2026,4,,
2026,5,,
2026,6,,
2026,7,,
2026,8,,
2026,9,,
2026,10,,
2026,11,,
2026,12,,
